training: rounds=130 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round    1/130 | lines    0.03 | score        3 | eps 0.994 | buf    1649 | loss 1.7926 | +  1649 |   7.2s
round    2/130 | lines    0.01 | score        1 | eps 0.987 | buf    3242 | loss 1.3420 | +  1593 |   2.8s
round    3/130 | lines    0.03 | score        3 | eps 0.981 | buf    4853 | loss 1.2424 | +  1611 |   3.4s
round    4/130 | lines    0.00 | score        0 | eps 0.975 | buf    6420 | loss 1.1911 | +  1567 |   2.6s
round    5/130 | lines    0.00 | score        0 | eps 0.969 | buf    7999 | loss 1.1827 | +  1579 |   2.4s
round    6/130 | lines    0.03 | score        3 | eps 0.962 | buf    9568 | loss 1.1824 | +  1569 |   2.6s
round    7/130 | lines    0.00 | score        0 | eps 0.956 | buf   11135 | loss 1.1325 | +  1567 |   2.6s
round    8/130 | lines    0.01 | score        1 | eps 0.950 | buf   12700 | loss 1.1164 | +  1565 |   2.7s
round    9/130 | lines    0.07 | score        7 | eps 0.944 | buf   14254 | loss 1.1097 | +  1554 |   2.5s
  eval: 0.08 lines/game (max 1), score 8, pieces 18 *best*
round   10/130 | lines    0.04 | score        4 | eps 0.938 | buf   15829 | loss 1.1008 | +  1575 |   3.9s
round   11/130 | lines    0.04 | score        4 | eps 0.932 | buf   17396 | loss 1.0987 | +  1567 |   2.8s
round   12/130 | lines    0.03 | score        3 | eps 0.926 | buf   18980 | loss 1.0893 | +  1584 |   3.0s
round   13/130 | lines    0.00 | score        0 | eps 0.919 | buf   20606 | loss 1.0775 | +  1626 |   3.2s
round   14/130 | lines    0.04 | score        4 | eps 0.913 | buf   22154 | loss 1.0759 | +  1548 |   3.1s
round   15/130 | lines    0.03 | score        3 | eps 0.907 | buf   23695 | loss 1.0700 | +  1541 |   3.1s
round   16/130 | lines    0.03 | score        3 | eps 0.901 | buf   25263 | loss 1.0695 | +  1568 |   3.3s
round   17/130 | lines    0.03 | score        3 | eps 0.895 | buf   26812 | loss 1.0687 | +  1549 |   3.0s
round   18/130 | lines    0.04 | score        4 | eps 0.889 | buf   28386 | loss 1.0618 | +  1574 |   3.3s
round   19/130 | lines    0.00 | score        0 | eps 0.883 | buf   29845 | loss 1.0523 | +  1459 |   3.0s
  eval: 0.33 lines/game (max 2), score 38, pieces 16 *best*
round   20/130 | lines    0.01 | score        1 | eps 0.877 | buf   31415 | loss 1.0568 | +  1570 |   4.3s
round   21/130 | lines    0.06 | score        6 | eps 0.871 | buf   33007 | loss 1.0595 | +  1592 |   3.2s
round   22/130 | lines    0.04 | score        4 | eps 0.864 | buf   34577 | loss 1.0612 | +  1570 |   3.3s
round   23/130 | lines    0.06 | score        6 | eps 0.858 | buf   36131 | loss 1.0592 | +  1554 |   3.2s
round   24/130 | lines    0.04 | score        4 | eps 0.852 | buf   37664 | loss 1.0517 | +  1533 |   3.2s
round   25/130 | lines    0.04 | score        4 | eps 0.846 | buf   39240 | loss 1.0551 | +  1576 |   3.5s
round   26/130 | lines    0.08 | score        8 | eps 0.840 | buf   40807 | loss 1.0585 | +  1567 |   3.4s
round   27/130 | lines    0.06 | score        6 | eps 0.834 | buf   42342 | loss 1.0609 | +  1535 |   3.2s
round   28/130 | lines    0.04 | score        4 | eps 0.828 | buf   43788 | loss 1.0517 | +  1446 |   3.1s
round   29/130 | lines    0.08 | score        8 | eps 0.822 | buf   45379 | loss 1.0590 | +  1591 |   3.4s
  eval: 0.00 lines/game (max 0), score 0, pieces 14
round   30/130 | lines    0.07 | score        7 | eps 0.816 | buf   46885 | loss 1.0690 | +  1506 |   4.1s
round   31/130 | lines    0.01 | score        1 | eps 0.810 | buf   48373 | loss 1.0608 | +  1488 |   3.2s
round   32/130 | lines    0.10 | score       10 | eps 0.804 | buf   49884 | loss 1.0607 | +  1511 |   3.3s
round   33/130 | lines    0.08 | score        8 | eps 0.798 | buf   51453 | loss 1.0754 | +  1569 |   3.5s
round   34/130 | lines    0.08 | score        8 | eps 0.792 | buf   52999 | loss 1.0634 | +  1546 |   3.4s
round   35/130 | lines    0.04 | score        4 | eps 0.786 | buf   54539 | loss 1.0673 | +  1540 |   3.5s
round   36/130 | lines    0.03 | score        3 | eps 0.780 | buf   56043 | loss 1.0691 | +  1504 |   3.7s
round   37/130 | lines    0.07 | score        7 | eps 0.775 | buf   57523 | loss 1.0694 | +  1480 |   3.4s
round   38/130 | lines    0.11 | score       11 | eps 0.768 | buf   59072 | loss 1.0812 | +  1549 |   3.7s
