training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round    1/170 | lines    0.03 | score        3 | eps 0.994 | buf    1649 | loss 1.9858 | +  1649 |   5.1s
round    2/170 | lines    0.00 | score        0 | eps 0.987 | buf    3222 | loss 1.4923 | +  1573 |   1.9s
round    3/170 | lines    0.03 | score        3 | eps 0.981 | buf    4831 | loss 1.4247 | +  1609 |   2.2s
round    4/170 | lines    0.00 | score        0 | eps 0.975 | buf    6409 | loss 1.3797 | +  1578 |   2.0s
round    5/170 | lines    0.00 | score        0 | eps 0.969 | buf    8006 | loss 1.3508 | +  1597 |   2.2s
round    6/170 | lines    0.01 | score        1 | eps 0.963 | buf    9533 | loss 1.3696 | +  1527 |   2.2s
round    7/170 | lines    0.00 | score        0 | eps 0.956 | buf   11124 | loss 1.3372 | +  1591 |   2.3s
round    8/170 | lines    0.03 | score        3 | eps 0.950 | buf   12747 | loss 1.3160 | +  1623 |   2.3s
round    9/170 | lines    0.01 | score        1 | eps 0.944 | buf   14290 | loss 1.3210 | +  1543 |   2.2s
  eval: 0.17 lines/game (max 2), score 25, pieces 20 *best*
round   10/170 | lines    0.01 | score        1 | eps 0.938 | buf   15898 | loss 1.3095 | +  1608 |   3.4s
round   11/170 | lines    0.01 | score        1 | eps 0.932 | buf   17413 | loss 1.2875 | +  1515 |   2.2s
round   12/170 | lines    0.01 | score        1 | eps 0.926 | buf   18948 | loss 1.2734 | +  1535 |   2.3s
round   13/170 | lines    0.03 | score        3 | eps 0.919 | buf   20539 | loss 1.2602 | +  1591 |   2.2s
round   14/170 | lines    0.07 | score        7 | eps 0.913 | buf   22092 | loss 1.2567 | +  1553 |   2.4s
round   15/170 | lines    0.03 | score        3 | eps 0.907 | buf   23673 | loss 1.2507 | +  1581 |   2.4s
round   16/170 | lines    0.06 | score        6 | eps 0.901 | buf   25234 | loss 1.2502 | +  1561 |   2.5s
round   17/170 | lines    0.03 | score        3 | eps 0.895 | buf   26816 | loss 1.2271 | +  1582 |   2.6s
round   18/170 | lines    0.06 | score        6 | eps 0.889 | buf   28403 | loss 1.2432 | +  1587 |   2.5s
round   19/170 | lines    0.06 | score        6 | eps 0.882 | buf   29987 | loss 1.2292 | +  1584 |   2.4s
  eval: 0.08 lines/game (max 1), score 8, pieces 20
round   20/170 | lines    0.03 | score        3 | eps 0.876 | buf   31602 | loss 1.2353 | +  1615 |   3.5s
round   21/170 | lines    0.10 | score       10 | eps 0.870 | buf   33213 | loss 1.2189 | +  1611 |   2.5s
round   22/170 | lines    0.04 | score        4 | eps 0.864 | buf   34724 | loss 1.2175 | +  1511 |   2.5s
