training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round    1/170 | lines    0.03 | score        3 | eps 0.994 | buf    1649 | loss 1.9492 | +  1649 |   4.8s
round    2/170 | lines    0.00 | score        0 | eps 0.987 | buf    3250 | loss 1.5176 | +  1601 |   1.9s
round    3/170 | lines    0.01 | score        1 | eps 0.981 | buf    4826 | loss 1.4977 | +  1576 |   1.9s
round    4/170 | lines    0.00 | score        0 | eps 0.975 | buf    6428 | loss 1.4315 | +  1602 |   2.0s
round    5/170 | lines    0.00 | score        0 | eps 0.969 | buf    8033 | loss 1.3680 | +  1605 |   1.9s
round    6/170 | lines    0.00 | score        0 | eps 0.963 | buf    9554 | loss 1.3721 | +  1521 |   2.0s
round    7/170 | lines    0.00 | score        0 | eps 0.956 | buf   11157 | loss 1.3361 | +  1603 |   2.1s
round    8/170 | lines    0.00 | score        0 | eps 0.950 | buf   12684 | loss 1.3371 | +  1527 |   2.1s
round    9/170 | lines    0.01 | score        1 | eps 0.944 | buf   14214 | loss 1.3096 | +  1530 |   2.0s
  eval: 0.00 lines/game (max 0), score 0, pieces 12 *best*
round   10/170 | lines    0.03 | score        3 | eps 0.938 | buf   15766 | loss 1.3231 | +  1552 |   2.6s
round   11/170 | lines    0.01 | score        1 | eps 0.932 | buf   17284 | loss 1.3116 | +  1518 |   2.1s
round   12/170 | lines    0.00 | score        0 | eps 0.926 | buf   18781 | loss 1.2960 | +  1497 |   2.2s
round   13/170 | lines    0.00 | score        0 | eps 0.920 | buf   20341 | loss 1.2789 | +  1560 |   2.2s
round   14/170 | lines    0.01 | score        1 | eps 0.914 | buf   21848 | loss 1.2787 | +  1507 |   2.1s
round   15/170 | lines    0.00 | score        0 | eps 0.908 | buf   23374 | loss 1.2728 | +  1526 |   2.2s
round   16/170 | lines    0.00 | score        0 | eps 0.902 | buf   24893 | loss 1.2735 | +  1519 |   2.2s
round   17/170 | lines    0.01 | score        1 | eps 0.896 | buf   26418 | loss 1.2798 | +  1525 |   2.2s
round   18/170 | lines    0.03 | score        3 | eps 0.890 | buf   27935 | loss 1.2748 | +  1517 |   2.3s
round   19/170 | lines    0.01 | score        1 | eps 0.884 | buf   29478 | loss 1.2738 | +  1543 |   2.4s
  eval: 0.00 lines/game (max 0), score 0, pieces 12
round   20/170 | lines    0.01 | score        1 | eps 0.879 | buf   30937 | loss 1.2691 | +  1459 |   2.9s
round   21/170 | lines    0.07 | score        7 | eps 0.873 | buf   32506 | loss 1.2650 | +  1569 |   2.4s
round   22/170 | lines    0.00 | score        0 | eps 0.867 | buf   33992 | loss 1.2642 | +  1486 |   2.3s
round   23/170 | lines    0.01 | score        1 | eps 0.861 | buf   35503 | loss 1.2647 | +  1511 |   2.3s
round   24/170 | lines    0.01 | score        1 | eps 0.855 | buf   37039 | loss 1.2642 | +  1536 |   2.4s
round   25/170 | lines    0.01 | score        1 | eps 0.849 | buf   38537 | loss 1.2646 | +  1498 |   2.5s
round   26/170 | lines    0.00 | score        0 | eps 0.843 | buf   40030 | loss 1.2546 | +  1493 |   2.5s
round   27/170 | lines    0.01 | score        1 | eps 0.837 | buf   41522 | loss 1.2442 | +  1492 |   2.4s
round   28/170 | lines    0.06 | score        6 | eps 0.831 | buf   43049 | loss 1.2395 | +  1527 |   2.5s
round   29/170 | lines    0.01 | score        1 | eps 0.826 | buf   44469 | loss 1.2284 | +  1420 |   2.4s
  eval: 0.00 lines/game (max 0), score 0, pieces 15
round   30/170 | lines    0.04 | score        4 | eps 0.820 | buf   45937 | loss 1.2264 | +  1468 |   3.1s
round   31/170 | lines    0.00 | score        0 | eps 0.814 | buf   47399 | loss 1.2344 | +  1462 |   2.4s
round   32/170 | lines    0.04 | score        4 | eps 0.808 | buf   48908 | loss 1.2274 | +  1509 |   2.5s
round   33/170 | lines    0.03 | score        3 | eps 0.802 | buf   50423 | loss 1.2242 | +  1515 |   2.5s
round   34/170 | lines    0.03 | score        3 | eps 0.797 | buf   51884 | loss 1.2416 | +  1461 |   2.5s
round   35/170 | lines    0.00 | score        0 | eps 0.791 | buf   53367 | loss 1.2309 | +  1483 |   2.6s
round   36/170 | lines    0.00 | score        0 | eps 0.785 | buf   54775 | loss 1.2385 | +  1408 |   2.5s
round   37/170 | lines    0.01 | score        1 | eps 0.780 | buf   56226 | loss 1.2337 | +  1451 |   2.5s
round   38/170 | lines    0.03 | score        3 | eps 0.774 | buf   57651 | loss 1.2490 | +  1425 |   2.7s
round   39/170 | lines    0.03 | score        3 | eps 0.768 | buf   59116 | loss 1.2477 | +  1465 |   2.7s
  eval: 0.00 lines/game (max 0), score 0, pieces 17
round   40/170 | lines    0.00 | score        0 | eps 0.762 | buf   60603 | loss 1.2359 | +  1487 |   3.4s
round   41/170 | lines    0.01 | score        1 | eps 0.757 | buf   62039 | loss 1.2387 | +  1436 |   2.6s
round   42/170 | lines    0.01 | score        1 | eps 0.751 | buf   63514 | loss 1.2275 | +  1475 |   2.7s
round   43/170 | lines    0.00 | score        0 | eps 0.745 | buf   64988 | loss 1.2374 | +  1474 |   2.7s
round   44/170 | lines    0.01 | score        1 | eps 0.739 | buf   66485 | loss 1.2355 | +  1497 |   2.7s
round   45/170 | lines    0.00 | score        0 | eps 0.734 | buf   67939 | loss 1.2239 | +  1454 |   2.7s
